state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
New York,887161,2166,444258,1729,442824,437,0.244,79.83,20.17,0.0002052,0.0003492,0.0008587,0.0015764,0.0038392
Texas,1267650,1824,637911,1509,628630,312,0.144,82.73,17.11,0.0002215,0,0.0008306,0,0.000777
California,1631304,3964,817371,3211,813727,752,0.243,81.00,18.97,0.0001823,0.0005996,0.0005969,0.0008423,0.0031706
Grand Total,15651054,34054,7860081,27759,7781018,6273,0.218,81.51,18.42,0.000359,0.0002359,0.001171,0.0012123,0.0026636
,,,,,,,,,,0.0001503,0.0002508,0.0013518,0.0016013,0.0005596
,,,,,,,,,,0,0,,,
,,,,,,,,,,0,0.0018051,0,0,
,,,,,,,,,,0.0002619,0.0002479,0.0004946,0.0007896,0.0025813
,,,,,,,,,,0,0.0008598,0.0010977,0.0013477,0.0018349
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0.0003256,0.0004975,0.0020107,0.0022805
,,,,,,,,,,0,0,0.0008097,0,0.0037736
,,,,,,,,,,0,0.0002257,0.000636,0.0014881,0.0021892
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0.0007018,0.00078,0.0023613,0
,,,,,,,,,,0,0.0005176,0,0.0019493,0.0019048
,,,,,,,,,,0,0,0,0.0031746,0.0020877
,,,,,,,,,,0,0,0,0.0039683,
,,,,,,,,,,0.0005025,0,0.0006662,0,0.0050505
,,,,,,,,,,0,0,0.0009625,0.0021097,
,,,,,,,,,,0,0,0.0007369,0.0014577,0.0025316
,,,,,,,,,,0,0.0005988,0,0,0.0051546
,,,,,,,,,,0,0.0003604,0.0007622,0.0011198,0.0032733
,,,,,,,,,,0,0.000585,0,0,0.0014903
,,,,,,,,,,0.0006636,0,0.0004019,0.0014198,0.0016155
,,,,,,,,,,0,0.0011117,0.0008749,0.00125,0
,,,,,,,,,,0.0017889,0,0,0,
,,,,,,,,,,0,0.000261,0.0003445,0.000932,0.0016964
,,,,,,,,,,0.0005444,0,0.0018564,0.0008826,0
,,,,,,,,,,0,0,0,0.0021097,
,,,,,,,,,,0.0003111,0.000316,0.0009769,0.0015298,0.0036179
,,,,,,,,,,0.000467,0.0003648,0,0,0.0033223
,,,,,,,,,,0,0.0004751,0,0.0005504,0.0043141
,,,,,,,,,,0,0.0007231,0,0,0
,,,,,,,,,,0,0.0004568,0.0009294,0.0003865,0.0019737
,,,,,,,,,,0.0003483,0.0005135,0.0008467,0.0013525,0.0038153
,,,,,,,,,,0,0.0017281,0,0.0013245,0.0058072
,,,,,,,,,,0,0.0009195,0.0005163,0.0019608,0.005571
,,,,,,,,,,0,0,0.0010471,0.0024155,0.001759
,,,,,,,,,,0.0003348,0.0006769,0.0006765,0.0021558,0.0042493
,,,,,,,,,,0.0004147,0,0.0004824,0.0010263,0.0012634
,,,,,,,,,,0.0003072,0,0.0006519,0,0.0019973
,,,,,,,,,,0.0008,0,0.0017241,0.0026144,0
,,,,,,,,,,0,0.0007215,0.0016103,0.0035545,0.0021186
,,,,,,,,,,0.000328,0.0009155,0.0003412,0.0015751,0.0037744
,,,,,,,,,,0,0.0006481,0,0.0044843,0.0034602
,,,,,,,,,,0,0,0,,
,,,,,,,,,,0.0004054,0.0007283,0,0.0005131,0.0025619
,,,,,,,,,,0,0.0003151,0.000571,0.0012216,0.0030616
,,,,,,,,,,0.0006208,0.0012608,0.0013437,0.0025966,0.0059607
,,,,,,,,,,0.000331,0.000231,0.0008687,0.0018378,0.0023594
,,,,,,,,,,0.0009851,0.0009651,0.0012561,0.0019608,0.0026473
,,,,,,,,,,0.0006292,0.0009708,0.0017511,0.0017972,0.0039045
,,,,,,,,,,0.0003505,0.0015708,0.0013265,0.0032231,0.0059354
,,,,,,,,,,0.0005485,0.000808,0.00061,0.0007333,0.0047306
,,,,,,,,,,0.0013267,0.0016176,0.0010104,0.0031579,0.005999
,,,,,,,,,,0.0002993,0.0005995,0.0011649,0.00302,0.0036716
,,,,,,,,,,0.0002737,0.0007055,0.0020422,0.001075,0.0054348
,,,,,,,,,,0.0006843,0.0002893,0.0009138,0.0015538,0.0028562
,,,,,,,,,,0.0007,0.001157,0.0010947,0,0.0021459
,,,,,,,,,,0.0003821,0.0006227,0.0011312,0.0029426,0.0016168
,,,,,,,,,,0.0004438,0.0004441,0.0009308,0.003367,0.0045532
,,,,,,,,,,0.0004372,0.0007545,0.0007323,0.0009756,0.00369
,,,,,,,,,,0.000187,0.000596,0.0006437,0.0018634,0.0041574
,,,,,,,,,,0,0,0,0.0015699,0
,,,,,,,,,,0.0001069,0.0011362,0.0004467,0.0011874,0.0045026
,,,,,,,,,,0.0001933,0.0006934,0.001383,0.0011559,0.0029186
,,,,,,,,,,0.000224,0.0003865,0.000972,0.001916,0.0048904
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0,0,0,
,,,,,,,,,,0,0,0,0.0026954,
,,,,,,,,,,0.0001986,0.000533,0.0014766,0.0009906,0.0014609
,,,,,,,,,,0.0004052,0,0.0007651,0,0.0018182
,,,,,,,,,,0,0,0.001005,0,0.0039894
,,,,,,,,,,0,0,0.0005219,0,0
,,,,,,,,,,0,0.0006601,0.0009107,0,0
,,,,,,,,,,0.0001544,0.0005438,0.0008586,0.0011942,0.0019858
,,,,,,,,,,0.0001531,0,0.000654,0.0019116,0.0023968
,,,,,,,,,,0,0.0005882,0.0008666,0,0.0018657
,,,,,,,,,,0,0,0.001287,0,0
,,,,,,,,,,0.0005388,0,0,0,0.0020492
,,,,,,,,,,0.0002401,0.0006474,0.0010596,0.0017249,0.0036107
,,,,,,,,,,0,0.0004697,0.0005981,0,0.002635
,,,,,,,,,,0.000854,0.0004543,0.0021097,0.0005841,0.0017783
,,,,,,,,,,0,0,0.00181,0.0040928,0
,,,,,,,,,,0,0.000645,0.0013219,0.0011316,0.0036573
,,,,,,,,,,0.000672,0.0004034,0,0.0008157,0
