cz,city,state,stateabbrv,kid_count,inventor,kid_count_m,inventor_m,inventor_f,kid_count_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
11301,Fredericksburg,Virginia,VA,15040,0.0015957,7596,0.0027646,0.000403,7444,0.001385,0.0009403,0.0007215,0.0018944,0.0022351
11302,Baltimore,Maryland,MD,139865,0.0021592,69318,0.003419,0.0009215,70540,0.0005566,0.0005219,0.0011817,0.0016011,0.0052601
11303,Colonial Beach,Virginia,VA,3131,0.0009582,1584,0.0018939,0,1547,0,0,0.0016835,0,0.0069204
11304,Washington DC,District of Columbia,DC,231014,0.0026535,114724,0.0042886,0.0010406,116278,0.0008829,0.0003513,0.0013481,0.0021994,0.0049053
11401,Marquette,Michigan,MI,8017,0.0038668,4083,0.0056331,0.0020336,3934,0.0008658,0.0035817,0.0034671,0.0035698,0.0082919
11402,Marinette,Michigan,MI,8140,0.0036855,4085,0.0058752,0.0014797,4055,0.0028222,0.0029568,0.0020877,0.0049579,0.0071869
11403,Sault Ste. Marie,Michigan,MI,3322,0.0021072,1704,0.0023474,0.0018553,1617,0,0,0.0024783,0.0028986,0.0103093
11500,Jackson,Michigan,MI,19475,0.002208,9954,0.0037171,0.0006302,9521,0.0012126,0.0011435,0.0015566,0.0011342,0.0061895
11600,Detroit,Michigan,MI,301139,0.0038421,151503,0.0061979,0.0014572,149606,0.000641,0.001444,0.0018398,0.0032728,0.0077914
11700,Lansing,Michigan,MI,27825,0.0033783,14002,0.0057849,0.0009406,13821,0.0006447,0.0007481,0.0024255,0.002769,0.0073399
11800,Mount Pleasant,Michigan,MI,7837,0.0014036,3937,0.002286,0.0005128,3900,0,0.0005447,0.0020899,0.0005907,0.0048077
11900,Saginaw,Michigan,MI,35111,0.0034177,17664,0.0056046,0.0012037,17446,0.0007171,0.0015141,0.0020094,0.0034214,0.0082374
12001,Big Rapids,Michigan,MI,7859,0.0022904,3997,0.0042532,0.0002589,3862,0.0006729,0.0019891,0.001494,0.004519,0.0037267
12002,Ludington,Michigan,MI,3318,0.0033153,1677,0.0053667,0.0012188,1641,0,0,0.0033557,0.0029455,0.0150754
12100,Kalamazoo,Michigan,MI,30731,0.0027985,15491,0.0045188,0.0010499,15240,0.0002279,0.0016499,0.0006131,0.0029412,0.0072622
12200,Grand Rapids,Michigan,MI,86290,0.0028509,43258,0.0049702,0.0007204,43031,0.0005329,0.0012158,0.001446,0.0029763,0.0064625
12301,Traverse City,Michigan,MI,9458,0.0030662,4819,0.0051878,0.0008626,4637,0.0015601,0.0020398,0.0011928,0.0045998,0.0065531
12302,Petoskey,Michigan,MI,5292,0.0017007,2710,0.002952,0.0003873,2582,0,0,0.0007257,0.0046083,0.0039063
12401,Alpena,Michigan,MI,5407,0.0022193,2770,0.0025271,0.0018961,2637,0,0.0015083,0.0028531,0.0036832,0.003861
12402,Grayling charter,Michigan,MI,6541,0.0018346,3338,0.0026962,0.0009366,3203,0.0013184,0.001938,0.0012555,0.0008,0.0063191
12501,Dayton,Ohio,OH,74729,0.0019671,37475,0.0029887,0.0009397,37244,0.0001948,0.001132,0.0008709,0.0027568,0.0047925
