cz,city,state,stateabbrv,kid_count,inventor,kid_count_m,inventor_m,inventor_f,kid_count_f,inventor_pq_1,inventor_pq_2,inventor_pq_3,inventor_pq_4,inventor_pq_5
22300,Ottumwa,Iowa,IA,9291,0.0025831,4738,0.0042212,0.0008785,4553,0.0007722,0.0004742,0.0019084,0.0049572,0.0057252
22400,Sheboygan,Wisconsin,WI,13158,0.003116,6515,0.0052187,0.0010537,6643,0,0.0016278,0.0024583,0.0023641,0.0081893
22500,Oshkosh,Wisconsin,WI,36399,0.0032968,18164,0.0055604,0.001042,18235,0.0011673,0.0003935,0.0029196,0.0030498,0.0069228
22601,Green Bay,Wisconsin,WI,19601,0.0030611,9779,0.0048062,0.0013236,9822,0.0011344,0.0010204,0.0020816,0.0030457,0.0064532
22602,Shawano,Wisconsin,WI,4121,0.0019413,2082,0.0038425,0,2039,0.0015291,0.0010571,0.0015962,0.0022472,0.005291
22700,Wausau,Wisconsin,WI,25438,0.0031449,12792,0.0052376,0.001028,12646,0.0012717,0.001082,0.0032019,0.0025658,0.0074127
22800,Eau Claire,Wisconsin,WI,19714,0.0037537,9918,0.0062513,0.0012252,9794,0.0022873,0.0025349,0.0027037,0.0038677,0.0083799
22900,La Crosse,Wisconsin,WI,14410,0.002984,7241,0.0049717,0.0009766,7168,0.0011325,0.0010597,0.0015334,0.0035107,0.0086482
23000,Monroe,Wisconsin,WI,8601,0.0029066,4252,0.0049389,0.0009198,4349,0.0009083,0.0020367,0.0028998,0.0036613,0.0053362
23100,Madison,Wisconsin,WI,32843,0.0049021,16551,0.0077941,0.0019643,16291,0.0014572,0.0022435,0.0029902,0.0039991,0.0097056
23200,Dubuque,Iowa,IA,11760,0.0031463,5788,0.0053559,0.0010047,5972,0.0016247,0.0008658,0.0020588,0.0053577,0.0054678
23301,Charleston,Illinois,IL,5931,0.0013488,2989,0.0023419,0.0003399,2942,0,0,0.0019133,0.0029176,0.0014472
23302,Douglas,Illinois,IL,7174,0.0030666,3602,0.0055525,0.0005599,3572,0.0009794,0.0032031,0.001462,0.0039909,0.0076336
23400,Bloomington,Illinois,IL,12181,0.0032017,6142,0.0055357,0.0008281,6038,0,0.0006094,0.0019685,0.0037791,0.0058875
23500,Decatur,Illinois,IL,22499,0.0028446,11409,0.0049084,0.0007214,11090,0,0.0007591,0.0011289,0.0026114,0.0095557
23600,Burlington,Iowa,IA,9226,0.0028181,4641,0.0051713,0.0004362,4585,0.0034996,0.0016384,0.0019091,0.0023753,0.0072267
23700,Galesburg,Illinois,IL,8388,0.0015498,4276,0.0023386,0.0007296,4112,0,0.00104,0.0017668,0.0015472,0.0042283
23801,Davenport,Illinois,IL,25652,0.0019881,13050,0.0033716,0.0005555,12601,0,0.000977,0.001916,0.0024648,0.0033935
23802,Clinton,Iowa,IA,4845,0.003096,2428,0.0053542,0.0008275,2417,0,0,0.0046154,0.0027739,0.0079491
23900,Peoria,Illinois,IL,34578,0.0037885,17424,0.0067149,0.0008162,17152,0.0006774,0.0018426,0.0017466,0.0045795,0.007952
24000,Kenosha,Wisconsin,WI,36839,0.0022802,18568,0.0037699,0.0007662,18271,0.0002482,0.0017928,0.0012527,0.0022575,0.0046483
24100,Milwaukee,Wisconsin,WI,102646,0.0036338,51491,0.0061758,0.0010753,51148,0.0003041,0.0012442,0.0028381,0.0033025,0.0074173
24200,Bourbonnais,Illinois,IL,9078,0.0015422,4625,0.0023784,0.0006737,4453,0,0,0.0004556,0.0021968,0.0056738
24300,Chicago,Illinois,IL,441020,0.0026938,220220,0.0043457,0.0010463,220776,0.0006022,0.0008595,0.0015767,0.0023341,0.0055838
24400,Rockford,Illinois,IL,39736,0.0025921,20070,0.0043847,0.0007628,19664,0.0002201,0.0006446,0.0007719,0.00259,0.0073177
24500,Rolla,Missouri,MO,6727,0.0022298,3408,0.0038146,0.0006028,3318,0.0006631,0.0016322,0.0010828,0.0048123,0.0080808
24600,Farmington,Missouri,MO,8811,0.0003405,4585,0.0004362,0.0002366,4226,0,0,0.0004161,0.0005938,0.0013774
24701,St. Louis,Missouri,MO,150209,0.002177,75306,0.0034659,0.0008812,74900,0.0004065,0.0006705,0.0014912,0.0025038,0.0043399
24702,Mexico,Missouri,MO,2390,0.0012552,1224,0.002451,0,1166,0,0,0.002994,0.002,
24801,Jacksonville,Illinois,IL,5461,0.0009156,2712,0.0018437,0,2749,0,0.0007974,0,0.0031201,0
24802,Springfield,Illinois,IL,17133,0.0021596,8552,0.0038587,0.0004662,8580,0,0.0003338,0.0016452,0.0037037,0.0036881
24900,Edwardsville,Illinois,IL,24806,0.0017738,12589,0.0029391,0.000573,12217,0.0002832,0.0014496,0.001147,0.0018005,0.0041209
25000,Quincy,Illinois,IL,9746,0.0011287,4824,0.0018657,0.0004063,4922,0,0,0.0010627,0.0023277,0.0027907
25101,Mountain Home,Arkansas,AR,3100,0.0012903,1561,0.0019218,0.0006502,1538,0.0010406,0,0.0028209,0.002907,
25102,West Plains,Missouri,MO,5423,0.0001844,2704,0.0003698,0,2719,0,0,0.0008993,0,
25103,Harrison,Arkansas,AR,4369,0.0009155,2204,0.0018149,0,2165,0.0007987,0,0.0021164,0.0020284,0
25104,Heber Springs,Arkansas,AR,2566,0.0003897,1274,0.0007849,0,1292,0,0,0,,
25105,Batesville,Arkansas,AR,3772,0.0015907,1946,0.0030832,0,1826,0.0009699,0.0009862,0.0011099,0.0017575,0.0077821
25200,Henderson,Kentucky,KY,9437,0.0013776,4757,0.0023124,0.0004274,4680,0,0,0.0017316,0.0014111,0.005291
25300,Union City,Tennessee,TN,6656,0.0009014,3354,0.0014908,0.0003028,3302,0,0.0013167,0,0.0015244,0.0027473
25401,Paducah,Kentucky,KY,7897,0.0006332,4007,0.0009983,0.0002571,3890,0,0,0,0.0010638,0.0023622
25402,Murray,Kentucky,KY,1598,0.0018773,840,0.0035714,0,758,0,0.0027473,0,0.0057471,
25500,Centralia,Illinois,IL,9468,0.0017955,4856,0.002883,0.0006505,4612,0.0006878,0.0010971,0.0019585,0.0020894,0.0032129
25601,Carbondale,Illinois,IL,14925,0.001273,7519,0.0021279,0.0004051,7406,0.0003234,0.0005915,0.000774,0.0026729,0.0031586
25602,Harrisburg,Illinois,IL,2255,0.0013304,1142,0.0017513,0.0008985,1113,0,0,0.0017331,0,
25701,Cape Girardeau,Missouri,MO,11534,0.0009537,5816,0.0012036,0.0006995,5718,0,0.0007452,0,0,0.0070922
25702,Poplar Bluff,Missouri,MO,4354,0.0004593,2180,0.0009174,0,2174,0,0,0.0023015,0,0
25800,Blytheville,Arkansas,AR,7015,0.0004277,3469,0.0005765,0.0002821,3545,0,0.0005216,0,0.0023753,0
25900,Jonesboro,Arkansas,AR,11284,0.0006203,5796,0.0008627,0.0003644,5488,0,0,0,0.0035714,0.0010235
26001,Roseau,Minnesota,MN,1624,0.0073892,799,0.0125156,0.0024242,825,,0.006424,0.0057361,0.0029155,
26002,Duluth,Minnesota,MN,18492,0.0022172,9325,0.0036461,0.0007636,9167,0.0012948,0.0012614,0.0014602,0.0027975,0.0042135
26003,West Cook UT,Minnesota,MN,291,0.0034364,,,,,,,,,
26004,International Falls,Minnesota,MN,1020,0.0029412,522,0.0057471,0,498,,,0,0.0036496,
26101,Moberly,Missouri,MO,3735,0.0005355,1870,0.0010695,0,1865,0,0.0009891,0.0009009,0,
26102,Marshall,Missouri,MO,3146,0.0003179,1597,0,0.0006456,1549,0,0,0,0.001692,
26103,Brookfield,Missouri,MO,1648,0.0012136,792,0.0025253,0,856,0,0,0,0.0039526,
26104,Trenton,Missouri,MO,832,0,425,0,0,407,,,,,
26105,Polk,Missouri,MO,685,0,354,0,0,331,,,,,
26106,Centerville,Iowa,IA,1884,0.0026539,932,0.0042918,0.0010504,952,0.0026385,0,0.0036232,0.002907,
26107,Kirksville,Missouri,MO,1999,0.002001,1032,0.003876,0,967,0.0023202,0.0017637,0.0020921,0.0030303,
26201,Bismarck,North Dakota,ND,8527,0.003401,4301,0.0055801,0.0011834,4225,0,0.0007855,0.0033981,0.0042508,0.0056782
26202,East Grant UT,North Dakota,ND,,,,,,,,,,,
26203,Linton,North Dakota,ND,646,0.001548,301,0.0033223,0,345,,,,,
26204,Steele,North Dakota,ND,,,,,,,,,,,
26301,Devils Lake,North Dakota,ND,1696,0.0005896,864,0.0011574,0,832,0,0,0.0022124,0,
26302,Carrington,North Dakota,ND,504,0.0039683,254,0.007874,0,250,,,,,
26303,Turtle Mountain UT,North Dakota,ND,1406,0,745,0,0,661,0,0,0,,
26304,Minot,North Dakota,ND,5222,0.0021065,2625,0.0034286,0.0007701,2597,0.0061728,0,0,0.0041459,0.0036166
26305,Rugby,North Dakota,ND,832,0.0036058,410,0.0073171,0,422,,,,,
26401,Ekalaka,South Dakota,SD,,,,,,,,,,,
26402,Baker,Montana,MT,280,0.0071429,,,,,,,,,
26403,Bowman,North Dakota,ND,313,0.0095847,,,,,,,,,
26404,Lemmon,North Dakota,ND,698,0,363,0,0,335,,0,,,
26405,Scobey,Montana,MT,,,,,,,,,,,
26406,Wolf Point,Montana,MT,956,0.001046,454,0,0.001992,502,0.0029326,0,,,
26407,Plentywood,Montana,MT,333,0.006006,,,,,,,,,
26408,Glasgow,Montana,MT,1005,0,495,0,0,510,,0,0,,
26409,Glendive,Montana,MT,923,0,462,0,0,461,,,0,,
26410,Dickinson,North Dakota,ND,2171,0.0027637,1118,0.0053667,0,1053,0.0031447,0.0019417,0.0031847,0.0039063,
26411,Sidney,North Dakota,ND,1791,0,886,0,0,905,0,0,0,0,
26412,Williston,North Dakota,ND,2070,0.0014493,1032,0.002907,0,1038,0,0,0,0.0019417,
26501,Brookings,South Dakota,SD,2576,0.0065994,1294,0.0108192,0.0023401,1282,0,0.0038986,0.0061728,0.0059791,0.0182371
26502,Madison,South Dakota,SD,1084,0.0064576,555,0.0108108,0.0018904,529,,,0.0058997,,
26503,Sioux Falls,South Dakota,SD,12904,0.0027898,6470,0.0046368,0.0009325,6434,0,0.0017153,0.0027881,0.0019971,0.0059128
26504,Watertown,South Dakota,SD,3126,0.0022393,1543,0.0045366,0,1583,0,0.0012484,0.0028874,0.0032949,0.0029326
26601,Milbank,Minnesota,MN,1494,0.0026774,738,0.0054201,0,756,,0.0025063,0.0020202,0.0033898,
26602,Sisseton,South Dakota,SD,1536,0.0013021,796,0.0025126,0,740,0,0,0.0046296,,
26603,East Corson UT,South Dakota,SD,601,0,287,0,0,314,,,,,
26604,Mobridge,South Dakota,SD,570,0,292,0,0,278,,,,,
26605,Aberdeen,South Dakota,SD,3571,0.0028003,1824,0.004386,0.0011448,1747,0,0.001218,0.0038948,0.004896,0.0020619
26701,Bemidji,Minnesota,MN,7060,0.0021246,3570,0.0039216,0.0002865,3490,0,0.0010917,0.001634,0.0037566,0.0071327
26702,Grafton,North Dakota,ND,2405,0.0016632,1187,0.0033698,0,1218,0,0,0.0013495,0.0037244,0.0036364
26703,Thief River Falls,Minnesota,MN,2157,0.0009272,1105,0.00181,0,1052,0,0,0.0014556,0,
26704,Grand Forks,North Dakota,ND,7596,0.0017114,3817,0.0031438,0.0002647,3778,0,0,0.0009174,0.0039604,0.0025105
26801,Fargo,North Dakota,ND,12744,0.0040019,6353,0.0067685,0.0012522,6389,0.0035398,0.0009662,0.0024162,0.0042481,0.0081421
26802,Lisbon,North Dakota,ND,1103,0.0063463,569,0.0105448,0.0018727,534,,,0.007772,0.0107527,
26803,Jamestown,North Dakota,ND,2636,0.0015175,1323,0.0030234,0,1313,0,0,0.00375,0,0.0034602
26804,Cooperstown,North Dakota,ND,,,,,,,,,,,
26901,Fergus Falls,Minnesota,MN,8296,0.0021697,4095,0.003663,0.0007143,4200,0.000997,0.0021186,0.0016488,0.0025138,0.0040404
26902,Little Falls,Minnesota,MN,5607,0.0024969,2817,0.0042599,0.0007168,2790,0.0011274,0.0006456,0.0053129,0.0019305,0.0022676
27001,O'Neill,Nebraska,NE,1303,0.0015349,643,0.0031104,0,660,0,0.0021598,0.0028653,,
27002,Ord,Nebraska,NE,786,0.0025445,373,0.0053619,0,413,,0,,,
27003,Ainsworth,Nebraska,NE,412,0,,,,,,,,,
27004,Winner,South Dakota,SD,898,0.0011136,474,0.0021097,0,424,,0.0031348,,,
27005,Yankton,South Dakota,SD,3487,0.0034414,1784,0.0067265,0,1703,0.0021413,0.0041667,0.0028544,0.0014556,0.0093168
27006,Mitchell,South Dakota,SD,2039,0.0014713,999,0.002002,0.0009615,1040,0,0,0.0015723,0.0026738,
27007,Huron,South Dakota,SD,1395,0.0028674,717,0.0041841,0.0014749,678,,0,0.0022727,0.0034247,
27008,Parkston,South Dakota,SD,1573,0.0019072,821,0.0024361,0.0013298,752,0.0032895,0.0045662,0,0,
27009,Chamberlain,South Dakota,SD,825,0.0024242,405,0.0049383,0,420,,0,,,
27010,Miller,South Dakota,SD,331,0.0090634,,,,,,,,,
27011,Pierre,South Dakota,SD,1579,0.0037999,791,0.0063211,0.001269,788,,0,0.002457,0.0025445,0.015873
27012,Gettysburg,South Dakota,SD,,,,,,,,,,,
27101,Willmar,Minnesota,MN,6356,0.002832,3202,0.0053092,0.0003171,3154,0.0015504,0.0022438,0.0030769,0.0031566,0.0035714
27102,Marshall,Minnesota,MN,3959,0.0020207,1963,0.003566,0.0005013,1995,0,0,0.0040584,0.0030992,0
27201,Sioux Center,Iowa,IA,4692,0.0038363,2381,0.0071399,0.0004327,2311,0.005814,0.0047125,0.0028653,0.0038647,0.0039448
27202,Worthington,Minnesota,MN,4094,0.0034196,2023,0.0049432,0.0019314,2071,0,0.0029326,0.0042796,0.0011442,0.0119048
27301,Spencer,Iowa,IA,4353,0.0029864,2133,0.0060947,0,2220,0.0039293,0.000969,0.0021521,0.0043764,0.0059524
27302,Fairmont,Minnesota,MN,3774,0.0015898,1943,0.0025733,0.0005461,1831,0,0,0.0032626,0.0023392,0
27401,Storm Lake,Iowa,IA,3731,0.0024122,1916,0.0046973,0,1815,0.0048662,0.0032154,0,0.0039113,0.0025126
27402,Fort Dodge,Iowa,IA,6932,0.0025967,3446,0.0043529,0.0008606,3486,0,0.0013351,0.0014444,0.0034404,0.0091146
27501,Des Moines,Iowa,IA,34649,0.0025109,17428,0.0041313,0.000871,17221,0,0.0014682,0.0016197,0.0021286,0.0051614
27502,Creston,Iowa,IA,2298,0.0013055,1136,0.0017606,0.0008606,1162,0.0025974,0.0015015,0.0014903,0,
27503,Atlantic,Iowa,IA,2453,0.0020383,1222,0.0040917,0,1231,0,0.0016447,0.0025907,0.0021008,
27504,Carroll,Iowa,IA,3673,0.0035393,1858,0.0053821,0.0016529,1815,0.0066372,0.0023585,0.004223,0.0035842,0
27601,Rapid City,South Dakota,SD,11340,0.0013228,5653,0.0026535,0,5687,0.000565,0.0023157,0.0009425,0.0008173,0.0022239
27602,Eagle Butte,South Dakota,SD,615,0.001626,313,0.0031949,0,302,,,,,
27603,Southwest Jackson UT,South Dakota,SD,460,0,,,,,,,,,
27604,Murdo,South Dakota,SD,,,,,,,,,,,
27605,Mission,South Dakota,SD,744,0,368,0,0,376,0,,,,
27701,Scottsbluff,Nebraska,NE,4800,0.001875,2385,0.0033543,0.0004141,2415,0,0.0019305,0.0015924,0.0027675,0.0036563
27702,Cheyenne,Wyoming,WY,6466,0.0024745,3309,0.0045331,0.0003168,3157,0.0011641,0.0015492,0.0017452,0.0025063,0.005994
27703,Torrington,Wyoming,WY,1535,0.0019544,784,0.0038265,0,751,0.0036232,0,0,0.0061162,
27704,Gordon,South Dakota,SD,1799,0,885,0,0,914,0,0,0,,
27801,Virginia Beach,Nebraska,NE,4403,0.0020441,2253,0.0035508,0.0004651,2150,0.002008,0.0020986,0.0015175,0.0017621,0.004008
27802,Columbus,Nebraska,NE,4982,0.0024087,2543,0.0047188,0,2439,0,0.0032258,0.0030807,0.0008591,0.0042105
27901,Hastings,Nebraska,NE,2795,0.0025045,1398,0.0035765,0.0014316,1397,0,0.0016584,0.0023669,0.0030488,0.0059172
27902,York,Nebraska,NE,1979,0.0015159,977,0.0030706,0,1002,,0,0,0.0042283,
27903,Grand Island,Nebraska,NE,5408,0.002034,2762,0.0025344,0.0015123,2645,0,0.0040193,0.0012407,0.0016273,0.0031949
28001,Sioux City,Iowa,IA,13248,0.002038,6724,0.0040155,0,6524,0.0006274,0.0014561,0.0025605,0.0018143,0.0033573
28002,West Point,Nebraska,NE,1907,0.0026219,943,0.0042418,0.0010373,964,0,0,0.0017361,0.0113314,
28101,Lincoln,Nebraska,NE,18219,0.0018113,9094,0.0027491,0.0008767,9125,0.0017084,0.0009967,0.0006624,0.0021645,0.0033837
28102,Nebraska City,Nebraska,NE,2702,0.0003701,1343,0.0007446,0,1359,0,0,0,0.001634,0
28201,Red Oak,Iowa,IA,3183,0.0021992,1591,0.0043997,0,1592,0.0021008,0.0013369,0.0019724,0.002809,
28202,Omaha,Nebraska,NE,52818,0.0018365,26609,0.0028938,0.0007631,26208,0,0.0005564,0.0015704,0.0018409,0.0038183
28301,Sterling,Colorado,CO,2741,0.0025538,1381,0.0043447,0.0007353,1360,0.0038685,0.00271,0,0.0023364,0.0075472
28302,Ogallala,Nebraska,NE,1269,0.001576,628,0.0031847,0,641,,0,0.002584,,
28303,Oshkosh,Nebraska,NE,,,,,,,,,,,
28304,Valentine,Nebraska,NE,617,0.0016207,329,0.0030395,0,288,,,,,
28305,Broken Bow,Nebraska,NE,978,0.002045,498,0.0040161,0,480,,0,,,
28306,North Platte,Nebraska,NE,2660,0.0011278,1342,0.0014903,0.0007587,1318,0,0,0.0015083,0,0.0039526
28401,Colorado Springs,Colorado,CO,35523,0.0024773,17970,0.0040067,0.0009116,17551,0.0004673,0.0010328,0.0016906,0.0030255,0.0050499
28402,Limon,Colorado,CO,374,0,,,,,,,,,
28501,Springfield,Colorado,CO,318,0,,,,,,,,,
28502,Pueblo,Colorado,CO,11211,0.0012488,5627,0.0017771,0.0007163,5584,0.0007893,0.0013831,0,0.0020736,0.0036664
28503,Trinidad,Colorado,CO,1250,0.0008,623,0,0.0015949,627,0,0,,,
28504,Burlington,Colorado,CO,855,0.0011696,442,0.0022624,0,413,,0.0038314,,,
28601,Oberlin,Kansas,KS,461,0.0043384,,,,,,,,,
28602,Norton,Kansas,KS,386,0,,,,,,,,,
28603,Phillipsburg,Kansas,KS,765,0.0013072,404,0.0024752,0,361,,,0,,
28604,Colby,Kansas,KS,1288,0.0031056,667,0.0044978,0.0016103,621,,0,0.0024213,0,
28605,Goodland,Kansas,KS,615,0.004878,307,0.009772,0,308,,,,,
28606,Wano,Kansas,KS,339,0,,,,,,,,,
28607,McCook,Nebraska,NE,1524,0.0006562,799,0,0.0013793,725,,0,0,0,
28608,Kearney,Nebraska,NE,3715,0.0005384,1831,0.0010923,0,1883,0,0,0,0.0011136,0.0018657
28609,Lexington,Nebraska,NE,3466,0.0008656,1770,0.0011299,0.00059,1695,0,0.0010173,0.0018365,0,0
28701,Salida,Colorado,CO,884,0.0033937,454,0.0066079,0,430,,,0.0035336,,
28702,Glenwood Springs,Colorado,CO,6060,0.0033003,2993,0.0046776,0.0019563,3067,0,0.0009524,0.0068285,0.0013486,0.0049782
28703,Granby,Colorado,CO,674,0.0014837,347,0.0028818,0,327,,,,,
28704,Laramie,Wyoming,WY,1704,0.004108,847,0.0070838,0.0011669,857,,0,0.002445,0.0070588,0.0106762
28800,Fort Collins,Colorado,CO,26208,0.0030907,13364,0.0054624,0.0006229,12844,0.0006202,0.0018349,0.0022562,0.0020265,0.0074564
28900,Denver,Colorado,CO,131074,0.0031204,66337,0.0051253,0.0010661,64724,0.0009059,0.0010194,0.0018,0.0024628,0.0061063
29001,Pratt,Kansas,KS,1393,0.0007179,658,0,0.0013605,735,,0,0,0,
29002,Coldwater,Kansas,KS,,,,,,,,,,,
29003,Dodge City,Kansas,KS,2801,0.0014281,1423,0.002811,0,1378,0.0024631,0,0.0012438,0.0017452,0.0029586
29004,Great Bend,Kansas,KS,3347,0.0017927,1719,0.0029087,0.0006143,1628,0.0021097,0.0011123,0.001006,0.0043796,0
29005,Hutchinson,Kansas,KS,5414,0.0003694,2751,0.0003635,0.0003755,2663,0,0,0.000651,0,0.0014472
29006,Hays,Kansas,KS,2537,0.0019708,1300,0.0023077,0.0016168,1237,0,0,0.0025641,0.0032206,0.0031348
29007,Township 11,Kansas,KS,653,0.0030628,347,0.0028818,0.003268,306,,,,,
29008,Center,Kansas,KS,457,0,,,,,,,,,
29101,Concordia,Kansas,KS,1361,0.0044085,704,0.0085227,0,657,,0.0104712,0.0022831,,
29102,Superior,Nebraska,NE,914,0.0054705,456,0.0109649,0,458,,0,0.0035336,,
29103,Beloit,Kansas,KS,859,0.0023283,456,0.004386,0,403,,,0.0037594,,
29104,Salina,Kansas,KS,4168,0.0021593,2135,0.0032787,0.0009838,2033,0,0.002381,0.0016878,0.001004,0.0069324
29201,Hiawatha,Kansas,KS,1698,0.0017668,847,0.0035419,0,851,,0.0040404,0,0,
29202,Marysville,Kansas,KS,1343,0.0022338,677,0.0029542,0.0015015,666,,0.0030581,0.0022124,,
29203,Manhattan,Kansas,KS,8554,0.0018705,4373,0.0029728,0.0007175,4181,0.0009158,0.001006,0.0016313,0.0020222,0.0047893
29204,Topeka,Kansas,KS,19486,0.0016935,9831,0.0031533,0.0002071,9655,0.0004239,0.0005615,0.0010506,0.0015686,0.0045872
29301,Wichita,Kansas,KS,35397,0.0015538,17784,0.0026428,0.0004542,17613,0,0.0005354,0.0009197,0.0018845,0.0031542
29302,Newton,Kansas,KS,5564,0.0043134,2810,0.0081851,0.0003631,2754,0.0095057,0.0029383,0.0024287,0.0055317,0.0040377
29303,Winfield,Kansas,KS,3519,0.0019892,1777,0.002251,0.0017222,1742,0,0,0.0010504,0.004878,0.0061162
29401,Ottawa,Kansas,KS,3593,0.0011133,1811,0.0022087,0,1782,0,0,0.0028791,0.0012392,0
29402,Emporia,Kansas,KS,3212,0.0012453,1602,0.0012484,0.0012422,1610,0,0.0014327,0.0022883,0,0.002551
29403,Bartlesville,Kansas,KS,9989,0.0017019,5061,0.003359,0,4927,0,0.00125,0.0007725,0.0026357,0.0053805
29501,Leavenworth,Kansas,KS,5467,0.0009146,2782,0.0010784,0.0007452,2684,0,0.001065,0,0.0019096,0.0010101
29502,Kansas City,Missouri,MO,108902,0.00191,54847,0.0032636,0.0005365,54054,0.0003591,0.0007842,0.0013856,0.0019508,0.0038137
29503,St. Joseph,Missouri,MO,10000,0.0011,5061,0.0021735,0,4939,0.0006165,0.0004444,0.000365,0.0022104,0.0026643
29504,Sedalia,Missouri,MO,5118,0.0009769,2563,0.0019508,0,2555,0,0,0.000731,0.002331,0.005291
29505,Polk,Missouri,MO,2058,0.0004859,1028,0.0009728,0,1030,0,0,0.0016393,0,
29506,Bethany,Missouri,MO,1136,0.0017606,622,0.0032154,0,514,,0.0027248,0,,
29601,Columbia,Missouri,MO,17497,0.0019432,8899,0.0034835,0.0003489,8598,0,0.0011672,0.0016417,0.0016226,0.0051118
29602,Eldon,Missouri,MO,4252,0.0002352,2106,0.0004748,0,2146,0,0,0.0009597,0,0
29700,Springfield,Missouri,MO,25490,0.0010985,12974,0.0021582,0,12515,0.0005681,0.0001507,0.0007963,0.0024932,0.0027768
29800,Aurora,Missouri,MO,7433,0.0009417,3776,0.0018538,0,3657,0.0004919,0.0004548,0.0010782,0.0021254,0.0024691
29901,Joplin,Missouri,MO,16483,0.0015774,8299,0.0026509,0.0004888,8184,0.0005573,0.0015569,0.0009307,0.0026168,0.0042105
29902,Center,Missouri,MO,3423,0.0008764,1694,0.001771,0,1729,0,0.002079,0.0010504,0,
30000,Russellville,Arkansas,AR,8555,0.0014027,4344,0.002302,0.0004749,4211,0,0.0008621,0.00199,0.0050209,0
30100,Fort Smith,Arkansas,AR,20316,0.0011321,10437,0.0020121,0.0002024,9879,0.0003635,0.0003676,0.0014871,0.0016415,0.004321
30200,Muskogee,Oklahoma,OK,9734,0.0008219,4898,0.0014292,0.0002068,4835,0.0006658,0.0003769,0.0004838,0,0.0066335
30300,Fayetteville,Arkansas,AR,20574,0.0007777,10397,0.0012504,0.0002948,10176,0.0002283,0.0005702,0.0004134,0.0014758,0.0018477
30401,Stillwater,Oklahoma,OK,4402,0.0020445,2223,0.0040486,0,2179,0,0.0009872,0.0009328,0.0011198,0.0093897
30402,Tulsa,Oklahoma,OK,57937,0.0019331,29121,0.0030562,0.0007983,28813,0.0004548,0.0009606,0.0015345,0.0018959,0.0051606
30403,Okmulgee,Oklahoma,OK,3118,0,1596,0,0,1522,0,0,0,0,
30501,Woodward,Oklahoma,OK,1988,0.001006,1013,0.0019743,0,975,0.0027855,0,0,0,
30502,Enid,Oklahoma,OK,7012,0.0015687,3552,0.0028153,0.0002893,3457,0.0013812,0.0005056,0.0022039,0,0.0069444
30601,El Paso,Texas,TX,55400,0.0009206,27961,0.0014663,0.0003645,27435,0.0002524,0.0006015,0.0012692,0.0014078,0.003348
30602,Alamogordo,New Mexico,NM,4759,0.0008405,2319,0.0017249,0,2440,0,0,0.0017715,0.0012953,0.0031153
30603,Truth or Consequences,New Mexico,NM,526,0.0019011,278,0,,,,,,,
30604,Deming,New Mexico,NM,3934,0.0025419,1996,0.004509,0.000516,1938,0.0016681,0,0.0028653,0.0054348,
30605,Van Horn,Texas,TX,270,0.0037037,,,,,,,,,
30701,Roswell,New Mexico,NM,8321,0.001322,4262,0.0014078,0.0012318,4059,0,0.0013538,0.0010521,0.0038491,0.0012937
30702,Santa Rosa,New Mexico,NM,477,0,,,,,,,,,
30801,Hobbs,New Mexico,NM,7160,0.0005587,3619,0.000829,0.0002824,3541,0,0.0005255,0,0,0.0045455
30802,Lubbock,Texas,TX,18835,0.0012742,9596,0.0021884,0.0003247,9239,0.0001943,0.0006439,0.0019886,0.0010067,0.0039541
30901,Clovis,New Mexico,NM,5329,0.0007506,2704,0.0014793,0,2625,0,0.0006131,0.0015898,0,0.0028169
30902,Littlefield,Texas,TX,2421,0.0012392,1212,0.0024752,0,1209,0.0013699,0.0026525,0,0,
30903,Amarillo,Texas,TX,15897,0.0011323,8021,0.0018701,0.000381,7874,0.0002864,0.0005274,0.001502,0.0013219,0.0026572
30904,Pampa,Texas,TX,4397,0.0011371,2204,0.0022686,0,2193,0,0,0.0009718,0,0.0057143
30905,Wellington,Texas,TX,599,0.0016694,311,0.0032154,0,287,,,,,
30906,Memphis,Texas,TX,552,0,283,0,0,269,,,,,
30907,Matador,Texas,TX,,,,,,,,,,,
30908,Plainview,Texas,TX,4077,0.0012264,2024,0.0019763,0.0004871,2053,0.0008137,0,0.0013947,0.0047506,0.0030488
31001,Garden City,Kansas,KS,3483,0.0002871,1724,0.00058,0,1759,0,0,0.0010846,0,0
31002,Ulysses,Kansas,KS,1271,0,626,0,0,645,,0,0,0,
31003,Scott City,Kansas,KS,784,0.0012755,398,0,0.0025907,386,,,,,
31004,Liberal,Kansas,KS,2181,0.0013755,1090,0.0009174,0.0018332,1091,0,0,0.001675,0.0021834,0.003861
31005,Perryton,Texas,TX,1426,0.0014025,741,0.0026991,0,685,,0,0,0.0032362,
31006,Guymon,Oklahoma,OK,1898,0.0010537,917,0.002181,0,980,0,0.0020964,0.0020964,0,
31007,Dumas,Texas,TX,2207,0.0009062,1079,0.0009268,0.0008865,1128,0,0.0031008,0,0,
31101,Victoria,Texas,TX,11605,0.001034,5841,0.0018832,0.0001735,5764,0.0003695,0.0011755,0.0008478,0.0004329,0.0029797
31102,La Grange,Texas,TX,2694,0.0029696,1318,0.0053111,0.0007267,1376,0,0,0.0045317,0.0057034,0.0064309
31103,Gonzales,Texas,TX,1252,0,670,0,0,582,0,0,,,
